NPI,Ind_PAC_ID,Provider Last Name,Provider First Name,Provider Middle Name,suff,Procedure_Category,Count,Percentile,Profile_Display_Indicator
1043244460,5395831747,DOXEY,CLEM,M,III,Knee replacement,14,33.0,Y
1043251184,6507847290,COSTABLE,JOHN,M,JR.,Colonoscopy,273,85.0,Y
1043257959,3476562760,BOZAAN,ANTHONY,GEORGE,III,Colonoscopy,61,43.0,Y
1043257959,3476562760,BOZAAN,ANTHONY,GEORGE,III,Hernia repair (minimally invasive),60,98.0,Y
1043263536,1951444629,HAYNES,WALTER,G,III,Spinal fusion,244,99.0,Y
1043276959,4284635491,BOWMAN,ROBERT,W,JR.,Cataract surgery,74,49.0,Y
1043279870,2365420841,BROWN,KENNETH,JOSEPH,JR.,Colonoscopy,192,73.0,Y
1043288160,8729018957,MONIER,CHARLES,J,JR.,Colonoscopy,572,98.0,Y
1043309891,5294620530,SUFFICOOL,WESLEY,L,JR.,Colonoscopy,62,43.0,Y
1043316821,6204855489,SHELL,DAN,H,III,Mastectomy,12,58.0,Y
1043339575,5294821096,NEUMANN,DAVID,A.,II,Colonoscopy,371,93.0,Y
1043390172,143214981,LANE,JOHN,S,III,Spinal fusion,17,53.0,Y
1043398605,7113957457,GUNN,EARLE,W,III,Mastectomy,76,95.0,Y
1043429046,8325130693,VERSTRINGHE,LOUIS,E,III,Cataract surgery,713,91.0,Y
1043447519,3678712346,BORGES,LAWRENCE,FRANCIS,JR.,Colonoscopy,127,59.0,Y
1043473226,5193998037,GULLETT,JOHN,WATHAN,II,Cataract surgery,562,86.0,Y
1043538796,7113148701,BUNDRICK,CLAUDE,YOUNGBLOOD,JR.,Cataract surgery,841,93.0,Y
1053306035,6002855186,GILLS,JAMES,P,III,Cataract surgery,3247,99.0,Y
1053310110,8224934294,VAUGHT,WINSTON,W,JR.,Prostate resection,34,79.0,Y
1053314096,7416035506,MURRELL,SAMUEL,EDWIN,III,Spinal fusion,18,54.0,Y
1053314427,5395706279,CRABTREE,JOHN,DENNIE,JR.,Colonoscopy,104,54.0,Y
1053315820,42404287,BURNEY,JOHN,E,III,Colonoscopy,684,99.0,Y
1053316505,8628011848,BONAPACE,EUGENE,S,JR.,Colonoscopy,172,69.0,Y
1053330316,7810954906,JONES,DEWEY,HOBSON,IV,Hip replacement,28,62.0,Y
1053330316,7810954906,JONES,DEWEY,HOBSON,IV,Knee replacement,62,70.0,Y
1053331066,9739168923,DAVIS,STEVEN,SCOTT,JR.,Hernia repair – groin (open),14,85.0,Y
1053331066,9739168923,DAVIS,STEVEN,SCOTT,JR.,Hernia repair (minimally invasive),15,72.0,Y
1053343186,6901983345,WHITE,JOHN,H,II,Prostate resection,12,38.0,Y
1053347468,2163521782,KLODELL,CHARLES,T,JR.,Coronary artery bypass graft (CABG),31,51.0,Y
1053354118,4082809652,MITCHELL,PAUL,B,JR.,Spinal fusion,47,78.0,Y
1053364521,941495352,OVERSTREET,WILLIAM,L,III,Mastectomy,14,62.0,Y
1053369322,7618975657,SNEAD,MAXWELL,A,III,Cataract surgery,578,87.0,Y
1053375758,4385642784,SPENCER,TIMOTHY,E,JR.,Spinal fusion,190,99.0,Y
1053380667,6002862067,RICHARDS,RICHARD,STEPHE,II,Knee replacement,11,29.0,Y
1053382440,8022084425,NASEEF,GEORGE,S,III,Spinal fusion,61,84.0,Y
1053385062,2668504705,PLATT,LUCAS,OLIVER,JR.,Cataract surgery,607,88.0,Y
1053388074,7214094416,LUCAS,WILLIAM,R,JR.,Cataract surgery,135,57.0,Y
1053390153,4688689235,HALL,EDWARD,L,JR.,Hernia repair (minimally invasive),14,70.0,Y
1053396606,4385783117,WILLIAMS,BRYANT,F,III,Prostate resection,15,46.0,Y
1053401240,8921190505,ONEAL,KELLY,RAMSAY,III,Coronary angioplasty and stenting,72,84.0,Y
1053402164,8527040328,DAVIS,THOMAS,MOORE,JR.,Cataract surgery,468,82.0,Y
1053409060,143397455,SMITH,JAMES,D,III,Spinal fusion,68,87.0,Y
1053414433,547361123,UROSKIE,THEODORE,W,JR.,Mastectomy,30,81.0,Y
1053420158,6608808340,EVANS,WILLIAM,B,III,Colonoscopy,102,53.0,Y
1053471300,2163446055,ANDERSON,RANDALL,M,JR.,Hip replacement,58,80.0,Y
1053471300,2163446055,ANDERSON,RANDALL,M,JR.,Knee replacement,63,70.0,Y
1053472712,5698833093,WILSON,CHARLES,H,IV,Knee replacement,153,93.0,Y
1053478362,2264519222,VUKMER,GEORGE,J,JR.,Cataract surgery,64,48.0,Y
1053492645,6901939727,BRAND,WOODROW,W,III,Colonoscopy,97,52.0,Y
1053492645,6901939727,BRAND,WOODROW,W,III,Hernia repair (minimally invasive),15,72.0,Y
1053524686,5799953964,ROBICHAUX,ROBERT,P,JR.,Pacemaker insertion or repair,115,97.0,Y
1053528752,4981796224,FRISCH,RICHARD,FRANCIS,JR.,Spinal fusion,113,96.0,Y
1053541946,5799926457,WINSLOW,STEPHEN,JAMES,JR.,Cataract surgery,918,94.0,Y
1053570853,7517109366,CAIN,RICHARD,A,JR.,Knee replacement,24,43.0,Y
1053585711,840343059,WHITLATCH,LYMAN,W,JR.,Spinal fusion,26,62.0,Y
1053673038,2163799883,IRVINE,JAMES,N,JR.,Knee replacement,22,41.0,Y
1053730077,5193032852,MUELLER,BRETT,H,II,Cataract surgery,414,80.0,Y
1053731745,1951638238,MYERS,FRANK,ANTHONY,JR.,Prostate resection,41,85.0,Y
1053800490,4688929086,WILSON,ALAN,E,JR.,Knee replacement,13,32.0,Y
1053846089,2466725486,WENDEL,ERIC,C,II,Prostate resection,27,70.0,Y
1053984633,5092110767,GRAY,JOHN,FRANKLIN,III,Cataract surgery,17,37.0,Y
1063405603,2769532902,DIETER,RAYMOND,A,III,Coronary artery bypass graft (CABG),46,69.0,Y
1063407831,547163578,COGGINS,JOHN,ROBERT,JR.,Colonoscopy,403,94.0,Y
1063411908,6608857925,CROSSE,KESTER,I.H.,II,Colonoscopy,257,83.0,Y
1063417251,8527092055,SABO,FRANK,MICHAEL,JR.,Hip replacement,57,80.0,Y
1063417251,8527092055,SABO,FRANK,MICHAEL,JR.,Knee replacement,61,69.0,Y
1063418036,2466472584,HENDRICKS,GEORGE,D,JR.,Cataract surgery,176,61.0,Y
1063437168,4486618527,MARKS,HOWARD,FISHER,JR.,Coronary artery bypass graft (CABG),120,98.0,Y
1063442572,9133017809,SWARTZ,JOHN,F,III,Pacemaker insertion or repair,48,83.0,Y
1063447464,4385726181,CUNDEY,PAUL,E,III,Coronary angioplasty and stenting,69,83.0,Y
1063459246,9436200664,FITZPATRICK,JAMES,EDWARD,IV,Hernia repair (minimally invasive),21,82.0,Y
1063462133,6901880400,GEISS,MICHAEL,J,III,Cataract surgery,277,70.0,Y
1063466803,4789695826,PEARSON,RONALD,B V,JR.,Colonoscopy,137,62.0,Y
1063466803,4789695826,PEARSON,RONALD,B V,JR.,Hernia repair – groin (open),12,81.0,Y
1063498392,8921180951,CATES,HAROLD,E,JR.,Hip replacement,118,95.0,Y
1063498392,8921180951,CATES,HAROLD,E,JR.,Knee replacement,220,97.0,Y
1063535979,3072779040,RAGON,WILLIAM,S,JR.,Hip replacement,15,48.0,Y
1063535979,3072779040,RAGON,WILLIAM,S,JR.,Knee replacement,41,57.0,Y
1063592723,9830149426,HARTMAN,HARRY,K,JR.,Cataract surgery,1325,97.0,Y
1063607174,9436329679,WILSON,DAVID,R,II,Pacemaker insertion or repair,47,83.0,Y
1063618650,6204083264,MAKIPOUR,JAHANAYAR,J,JR.,Hernia repair (minimally invasive),12,65.0,Y
1063674505,749406619,WALSH,JOSEPH,ALOYSIUS,III,Coronary angioplasty and stenting,58,76.0,Y
1063680031,749434306,GUILD,GEORGE,N,III,Hip replacement,147,97.0,Y
1063680031,749434306,GUILD,GEORGE,N,III,Knee replacement,178,95.0,Y
1063684850,941484992,DULDULAO,MARJUN,PHILIP NARCISCO,III,Colonoscopy,36,34.0,Y
1063687051,9436392115,SALMON,SCOTT,A,II,Prostate resection,102,98.0,Y
1063808046,2264746338,HEATHCOTE,SAMUEL,ALLEN,SR.,Colonoscopy,55,41.0,Y
1063808046,2264746338,HEATHCOTE,SAMUEL,ALLEN,SR.,Hernia repair – groin (open),11,79.0,Y
1073508404,9133204969,CARPENTER,CHARLES,J,JR.,Colonoscopy,38,35.0,Y
1073535191,648175166,FROGAMENI,ANTHONY,D,III,Hip replacement,18,52.0,Y
1073535191,648175166,FROGAMENI,ANTHONY,D,III,Knee replacement,104,84.0,Y
1073575668,6406801448,SALEEBY,RICHARD,G,JR.,Colonoscopy,68,45.0,Y
1073577037,4385624378,KOON,DAVID,E,JR.,Hip replacement,52,78.0,Y
1073577037,4385624378,KOON,DAVID,E,JR.,Knee replacement,84,79.0,Y
1073579512,7012908510,WALLING,JOHN,F,JR.,Colonoscopy,344,91.0,Y
1073629234,2769444926,WINTERS,THOMAS,F,JR.,Knee replacement,14,33.0,Y
1073656765,6507881026,DEAN,ODELL,JOSEPH,JR.,Prostate resection,17,50.0,Y
1073717955,1355434440,WALL,CHARLES,E,JR.,Mastectomy,13,60.0,Y
1073766804,5294868477,CORALLO,JOSEPH,P,JR.,Colonoscopy,106,55.0,Y
1073778452,6800942384,BREWER,MICHAEL,E,JR.,Prostate resection,17,50.0,Y
1073790622,6800934902,CHRISTIE,DUDLEY,B,III,Colonoscopy,33,33.0,Y
1073799490,7911172465,DURDEN,FREDERICK,L,JR.,Mastectomy,17,67.0,Y
1073952974,42641631,BOHL,MICHAEL,A,II,Spinal fusion,104,95.0,Y
1073967410,547559106,COUCH,LUKE,LESTER,III,Colonoscopy,24,29.0,Y
1083603708,5395711741,HOOD,DANNIS,E,JR.,Coronary angioplasty and stenting,85,89.0,Y
1083603708,5395711741,HOOD,DANNIS,E,JR.,Pacemaker insertion or repair,35,78.0,Y
1083610612,4385603927,HALL,ROBERT,F,JR.,Knee replacement,21,40.0,Y
1083624365,9032115654,COLLINS,SIDNEY,W,JR.,Hernia repair (minimally invasive),17,76.0,Y
1083654578,2365410933,TANN,THOMAS,M,III,Cataract surgery,1297,97.0,Y
1083660732,6103854310,DAVIS,JOHN,D,IV,Spinal fusion,12,47.0,Y
1083662142,3678588126,STAGG,DANIEL,PHILIP,III,Colonoscopy,260,83.0,Y
1083667133,7113987868,PIDORIANO,ARTHUR,J,JR.,Knee replacement,19,38.0,Y
1083669535,7517903750,HOOKS,SAMUEL,B,III,Colonoscopy,160,67.0,Y
1083682694,5597756155,LYNCH,PATRICK,S,JR.,Hip replacement,60,81.0,Y
1083682694,5597756155,LYNCH,PATRICK,S,JR.,Knee replacement,34,52.0,Y
1083685770,6002832839,GILMORE,JARED,Y,III,Coronary artery bypass graft (CABG),34,54.0,Y
1083689913,4789573114,CHAMBERS,WILLIAM,CLARK,JR.,Hernia repair – groin (open),11,79.0,Y
1083692131,5395837389,NEWMAN,EDWIN,C,III,Hip replacement,53,78.0,Y
1083692131,5395837389,NEWMAN,EDWIN,C,III,Knee replacement,21,40.0,Y
1083712772,7517059538,FATH,ROBERT,B,JR.,Colonoscopy,297,87.0,Y
1083722896,7517151426,TAYLOR,JAMES,R,II,Coronary artery bypass graft (CABG),70,87.0,Y
1083780415,6608808852,BISHOP,JOSEPH,R,III,Cataract surgery,911,94.0,Y
1083785901,5294920161,KNUTSON,THOMAS,E,JR.,Knee replacement,32,50.0,Y
1083807333,8123118528,PETTUS,JOSEPH,A,IV,Prostate resection,41,85.0,Y
1083817910,547338667,BREZINA,JAMES,L,JR.,Spinal fusion,39,72.0,Y
1083823009,1759428543,ORTON,VERNON,A,II,Prostate resection,14,43.0,Y
1083866511,7911131776,PAUGH,JAMES,C,II,Hernia repair (minimally invasive),14,70.0,Y
1083876833,2860634839,WOODALL,JAMES,WILLIAM,JR.,Spinal fusion,163,99.0,Y
1083927396,9830494715,PERRY,CLAYTON,RICHARD,JR.,Hip replacement,125,96.0,Y
1083927396,9830494715,PERRY,CLAYTON,RICHARD,JR.,Knee replacement,129,89.0,Y
1083935068,1557587938,WANDLING,GEORGE,R,JR.,Cataract surgery,981,95.0,Y
1083948285,9739357229,MAZZEI,WALTER,R,JR.,Pacemaker insertion or repair,140,98.0,Y
1083988257,6002053238,TAYLOR,JAMES,A,JR.,Spinal fusion,30,66.0,Y
1093733271,4284729823,MANNING,MICHAEL,H,JR.,Cataract surgery,1089,96.0,Y
1093734949,1355390964,HERZOG,JOHN,L,SR.,Pacemaker insertion or repair,45,82.0,Y
1093771529,6507030913,RULAND,LOUIS,J,III,Knee replacement,56,66.0,Y
1093771545,6507819380,BIRDSONG,DEARL,V,JR.,Colonoscopy,86,49.0,Y
1093776064,8224170204,ANDRY,MALCOLM,E,JR.,Colonoscopy,217,77.0,Y
1093785933,7618870635,LEIMBACH,WAYNE,N,JR.,Coronary angioplasty and stenting,62,79.0,Y
1093794042,941249213,SAWYER,RICHARD,F,JR.,Colonoscopy,549,98.0,Y
1093797326,6507824711,QUALLICH,LEONARD,G,III,Colonoscopy,181,71.0,Y
1093810723,8325022411,CHRISTIAN,RICHARD,M,JR.,Hip replacement,26,61.0,Y
1093810723,8325022411,CHRISTIAN,RICHARD,M,JR.,Knee replacement,114,87.0,Y
1093874331,9032127311,WINKEL,ERWIN,CHARLES,III,Prostate resection,18,52.0,Y
1093923583,2264519057,ALLAIN,BRENT,W,JR.,Hernia repair – groin (open),16,88.0,Y
1093933871,345484796,COWDEN,COURTNEY,H,III,Knee replacement,14,33.0,Y
1093972804,9335388230,BROWNING,ROBERT,E LEE,IV,Colonoscopy,60,42.0,Y
1093972804,9335388230,BROWNING,ROBERT,E LEE,IV,Hernia repair – groin (open),34,97.0,Y
1093972804,9335388230,BROWNING,ROBERT,E LEE,IV,Hernia repair (minimally invasive),51,97.0,Y
1093972804,9335388230,BROWNING,ROBERT,E LEE,IV,Mastectomy,16,66.0,Y
1093974693,4981757135,SCHIMMEL,DANIEL,R,JR.,Coronary angioplasty and stenting,87,89.0,Y
1104014620,8729112578,TORRANCE,BRUCE,S,III,Spinal fusion,15,51.0,Y
1104049980,941395040,BRIGHTBILL,KEITH,ERIC,II,Prostate resection,41,85.0,Y
1104072230,2264740802,HALL,GLENN,M,JR.,Colonoscopy,13,23.0,Y
1104147172,3274765102,ROC,GILBERT,C,JR.,Hip replacement,35,68.0,Y
1104147172,3274765102,ROC,GILBERT,C,JR.,Knee replacement,85,79.0,Y
1104166099,840568291,RAMSEY,RANDLE,WILLIAM,JR.,Hip replacement,55,79.0,Y
1104166099,840568291,RAMSEY,RANDLE,WILLIAM,JR.,Knee replacement,50,63.0,Y
1104359314,2163709106,DICARLO,VICK,S,II,Colonoscopy,48,38.0,Y
1104813468,6305804873,BENZ,JEROME,V,JR.,Cataract surgery,1341,97.0,Y
1104816511,1355379975,TAUNT,CHARLES,JOSEPH,JR.,Hip replacement,103,93.0,Y
1104816511,1355379975,TAUNT,CHARLES,JOSEPH,JR.,Knee replacement,297,99.0,Y
1104824150,1759285877,BURNETT,ROBERT,J,III,Coronary artery bypass graft (CABG),62,83.0,Y
1104833375,1355302456,FOSTER,LIONEL,S,JR.,Prostate resection,76,97.0,Y
1104866839,3375548480,BASZLER,RICHARD,A,II,Hip replacement,49,76.0,Y
1104866839,3375548480,BASZLER,RICHARD,A,II,Knee replacement,109,86.0,Y
1104877182,4880606938,STERBA,WILLIAM,R,II,Hip replacement,131,96.0,Y
1104877182,4880606938,STERBA,WILLIAM,R,II,Knee replacement,193,96.0,Y
1104890961,2961469614,MCKINNEY,ROBERT,A.,JR.,Colonoscopy,15,25.0,Y
1104890961,2961469614,MCKINNEY,ROBERT,A.,JR.,Hernia repair – groin (open),15,86.0,Y
1104891910,1759398423,WINTERS,GEORGE,R,III,Colonoscopy,442,96.0,Y
1104892017,9335105865,YATES,MUNFORD,RADFORD,III,Colonoscopy,272,85.0,Y
1104896158,4688857519,KNAUER,WILLIAM,J,III,Cataract surgery,11,33.0,Y
1104918879,1759324056,DAVIS,JOHN,A,JR.,Spinal fusion,35,69.0,Y
1104931559,3870593205,MURRAH,ROBERT,L,JR.,Hip replacement,24,59.0,Y
1104931559,3870593205,MURRAH,ROBERT,L,JR.,Knee replacement,104,84.0,Y
1104932367,2769421494,HALL,MARVIN,KENNETH,III,Cataract surgery,244,67.0,Y
1114018728,8729985023,BILES,JIMMIE,G,JR.,Hip replacement,14,47.0,Y
1114018728,8729985023,BILES,JIMMIE,G,JR.,Knee replacement,38,55.0,Y
1114018728,8729985023,BILES,JIMMIE,G,JR.,Spinal fusion,24,60.0,Y
1114020377,345138285,STEPHENS,SELDEN,H,III,Prostate resection,14,43.0,Y
1114030418,9032250048,BANDS,ROY,E,JR.,Spinal fusion,32,67.0,Y
1114033016,4587789425,PARKER,JOHN,STEVEN,SR.,Cataract surgery,188,62.0,Y
1114120334,1850416017,TESTA,ALVARO,JAVIER,JR.,Mastectomy,43,87.0,Y
1114127313,4284803347,CALDWELL,JOSEPH,M.,II,Spinal fusion,19,55.0,Y
1114345014,6608154588,LAWRENCE,JOHN,RAYMOND,JR.,Coronary angioplasty and stenting,30,50.0,Y
1114346434,2264769769,CLARK,CHARLES,F,III,Hip replacement,14,47.0,Y
1114346434,2264769769,CLARK,CHARLES,F,III,Knee replacement,20,39.0,Y
1114361003,7911129473,STUCKEY,RANDELL,MARK,JR.,Colonoscopy,73,46.0,Y
1114488335,4789918392,HENRY,WILLIAM,A,III,Cataract surgery,21,39.0,Y
1114911294,7416963731,TANNER,WILLIAM,G,JR.,Colonoscopy,683,99.0,Y
1114920592,244130037,MCCLELLAN,JOHN,W.,III,Spinal fusion,50,79.0,Y
1114955366,6709858392,WOODWARD,JOHN,S,JR.,Hip replacement,32,66.0,Y
1114955366,6709858392,WOODWARD,JOHN,S,JR.,Knee replacement,74,75.0,Y
1114980901,9931284635,OREN,JESS,W,IV,Pacemaker insertion or repair,69,89.0,Y
1114981826,6305826074,FRY,RUSSELL,L,II,Cataract surgery,353,76.0,Y
